location_id,year,month,context,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_or_more,total
5002704,2020,10,4,0.0,0.0,0.0,50.0,0.0,12.5,13.333333333333334,13.636363636363637,20.0,17.647058823529413,10.714285714285714,24.137931034482758,29.41176470588235,64.70588235294117,51.724137931034484,60.0,74.28571428571429,35.82554517133956
5002704,2020,11,1,5,1,0,3,14,37,37,79,65,95,83,126,93,99,92,55,89,973
5002704,2020,11,2,0,0,0,0,0,0,2,2,2,6,5,11,9,11,15,10,21,94
5002704,2020,11,3,2,1,2,1,14,26,36,60,53,63,60,80,64,70,64,45,75,716
5002704,2020,11,4,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405,2.5316455696202533,3.076923076923077,6.315789473684211,6.024096385542169,8.73015873015873,9.67741935483871,11.11111111111111,16.304347826086957,18.181818181818183,23.59550561797753,9.660842754367934
5002704,2020,12,1,8,2,0,2,6,17,24,38,65,71,104,91,100,120,102,69,108,927
5002704,2020,12,2,0,0,0,0,3,2,1,3,6,13,21,22,37,40,48,31,77,304
5002704,2020,12,3,9,2,0,6,6,19,28,53,74,101,125,140,142,137,132,86,137,1197
5002704,2020,12,4,0.0,0.0,0.0,0.0,50.0,11.764705882352942,4.166666666666667,7.894736842105263,9.23076923076923,18.309859154929576,20.192307692307693,24.175824175824175,37.0,33.333333333333336,47.05882352941177,44.927536231884055,71.29629629629629,32.79395900755124
5002704,2021,1,1,0,0,1,1,2,2,3,3,2,2,6,5,4,4,5,2,3,45
5002704,2021,1,2,0,0,0,0,0,0,1,2,6,9,14,14,23,26,31,17,36,179
5002704,2021,1,3,2,1,1,1,2,2,7,9,18,13,21,27,19,29,22,17,25,216
5002704,2021,1,4,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,66.66666666666667,300.0,450.0,233.33333333333334,280.0,575.0,650.0,620.0,850.0,1.2e3,397.77777777777777
5002704,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002704,2021,2,2,0,0,0,0,0,0,0,2,1,1,0,3,2,7,6,2,6,30
5002704,2021,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
5002704,2021,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002704,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002704,2021,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002704,2021,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002704,2021,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103403,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2020,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2020,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103403,2020,3,1,1,0,1,1,3,3,7,12,11,7,9,5,3,6,0,0,1,70
5103403,2020,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2020,3,3,0,0,0,0,1,0,1,5,3,1,2,1,2,1,0,0,1,18
5103403,2020,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103403,2020,4,1,2,0,2,2,6,10,19,19,11,10,11,9,3,2,3,3,2,114
5103403,2020,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5103403,2020,4,3,0,0,0,0,1,4,2,9,1,6,7,2,2,4,2,1,3,44
5103403,2020,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.8771929824561403
5103403,2020,5,1,9,6,9,12,37,96,118,125,123,86,77,51,30,37,18,20,18,872
5103403,2020,5,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,2,1,10
5103403,2020,5,3,1,1,1,2,6,9,23,22,39,24,40,32,22,24,16,14,14,290
5103403,2020,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8130081300813008,2.3255813953488373,1.2987012987012987,1.9607843137254901,3.3333333333333335,0.0,5.555555555555555,10.0,5.555555555555555,1.146788990825688
5103403,2020,6,1,1,3,5,12,48,90,99,117,125,120,104,95,67,68,55,39,54,1102
5103403,2020,6,2,0,0,0,1,2,0,2,4,7,5,13,13,14,18,14,8,18,119
5103403,2020,6,3,3,1,2,2,10,9,20,49,40,44,62,57,50,59,54,25,51,538
5103403,2020,6,4,0.0,0.0,0.0,8.333333333333334,4.166666666666667,0.0,2.0202020202020203,3.4188034188034186,5.6,4.166666666666667,12.5,13.68421052631579,20.895522388059703,26.470588235294116,25.454545454545453,20.512820512820515,33.333333333333336,10.798548094373865
5103403,2020,7,1,6,3,2,5,8,14,31,45,47,35,53,62,57,54,49,45,54,571
5103403,2020,7,2,0,0,0,0,0,0,3,5,8,10,8,17,18,28,22,16,28,163
5103403,2020,7,3,7,4,4,1,12,19,40,50,60,55,73,89,86,82,65,62,87,796
5103403,2020,7,4,0.0,0.0,0.0,0.0,0.0,0.0,9.67741935483871,11.11111111111111,17.02127659574468,28.571428571428573,15.09433962264151,27.419354838709676,31.57894736842105,51.851851851851855,44.89795918367347,35.55555555555556,51.851851851851855,28.546409807355516
5103403,2020,8,1,3,2,4,3,3,6,23,22,26,31,38,41,49,44,31,30,50,409
5103403,2020,8,2,1,0,0,1,0,2,4,3,2,3,8,14,14,19,16,11,31,129
5103403,2020,8,3,13,8,2,8,5,18,45,34,48,47,66,63,66,76,65,52,73,689
5103403,2020,8,4,33.333333333333336,0.0,0.0,33.333333333333336,0.0,33.333333333333336,17.391304347826086,13.636363636363637,7.6923076923076925,9.67741935483871,21.05263157894737,34.146341463414636,28.571428571428573,43.18181818181818,51.61290322580645,36.666666666666664,62.0,31.540342298288508
5103403,2020,9,1,5,0,2,2,2,9,12,20,23,23,23,25,34,31,24,26,31,292
5103403,2020,9,2,0,0,0,0,0,0,2,1,0,1,6,8,12,8,13,8,14,73
5103403,2020,9,3,9,6,5,6,7,10,15,24,31,37,33,39,51,42,44,33,42,434
5103403,2020,9,4,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,5.0,0.0,4.3478260869565215,26.08695652173913,32.0,35.294117647058826,25.806451612903224,54.166666666666664,30.76923076923077,45.16129032258065,25.0
5103403,2020,10,1,1,4,6,4,3,7,15,31,27,35,17,17,20,13,26,14,17,257
5103403,2020,10,2,0,0,0,0,1,0,0,2,2,1,2,2,5,9,10,10,10,54
5103403,2020,10,3,6,2,2,3,3,8,10,20,25,25,22,21,31,28,31,21,29,287
5103403,2020,10,4,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,6.451612903225806,7.407407407407407,2.857142857142857,11.764705882352942,11.764705882352942,25.0,69.23076923076923,38.46153846153846,71.42857142857143,58.8235294117647,21.011673151750973
5103403,2020,11,1,0,1,1,3,4,9,13,10,10,15,19,21,12,24,14,16,20,192
5103403,2020,11,2,0,0,0,1,0,0,0,0,0,1,1,1,2,3,2,5,8,24
5103403,2020,11,3,1,2,2,4,1,5,12,10,11,14,25,15,11,20,18,17,22,190
5103403,2020,11,4,0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,6.666666666666667,5.2631578947368425,4.761904761904762,16.666666666666668,12.5,14.285714285714286,31.25,40.0,12.5
5103403,2020,12,1,4,0,1,4,5,18,26,26,34,47,46,52,57,33,46,23,39,461
5103403,2020,12,2,0,0,0,0,0,0,2,1,0,4,3,2,2,4,4,7,13,42
5103403,2020,12,3,4,1,2,6,10,20,21,30,35,52,49,62,66,31,46,30,38,503
5103403,2020,12,4,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,3.8461538461538463,0.0,8.51063829787234,6.521739130434782,3.8461538461538463,3.508771929824561,12.121212121212121,8.695652173913043,30.434782608695652,33.333333333333336,9.11062906724512
5103403,2021,1,1,2,1,1,0,2,4,1,4,3,2,10,8,3,6,4,3,10,64
5103403,2021,1,2,0,0,0,0,0,1,1,0,6,2,1,5,6,4,12,6,14,58
5103403,2021,1,3,3,1,1,1,4,11,20,22,17,18,33,27,27,35,31,15,34,300
5103403,2021,1,4,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,200.0,100.0,10.0,62.5,200.0,66.66666666666667,300.0,200.0,140.0,90.625
5103403,2021,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3
5103403,2021,2,2,0,0,0,0,0,1,0,0,0,1,0,1,2,4,1,1,3,14
5103403,2021,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
5103403,2021,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,466.6666666666667
5103403,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2021,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2021,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5103403,2021,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5208707,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5208707,2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5208707,2020,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5208707,2020,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5208707,2020,3,1,0,1,0,0,0,3,2,7,3,8,2,4,4,10,7,2,1,54
5208707,2020,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5208707,2020,3,3,0,0,0,0,0,0,1,5,5,4,0,2,4,10,6,0,1,38
5208707,2020,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.8518518518518519
5208707,2020,4,1,1,0,1,0,2,1,6,7,10,10,12,7,15,11,9,5,11,108
5208707,2020,4,2,0,0,1,0,0,0,0,1,1,0,1,1,1,4,5,1,2,18
5208707,2020,4,3,1,1,1,0,2,5,6,10,11,13,16,10,14,8,9,9,10,126
5208707,2020,4,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.285714285714286,10.0,0.0,8.333333333333334,14.285714285714286,6.666666666666667,36.36363636363637,55.55555555555556,20.0,18.181818181818183,16.666666666666668
5208707,2020,5,1,2,0,1,2,5,9,18,22,26,24,31,32,29,27,25,26,44,323
5208707,2020,5,2,0,0,0,1,0,0,2,2,2,2,1,3,7,9,6,7,11,53
5208707,2020,5,3,4,0,1,2,4,13,17,22,22,22,39,34,31,40,25,26,43,345
5208707,2020,5,4,0.0,0.0,0.0,50.0,0.0,0.0,11.11111111111111,9.090909090909092,7.6923076923076925,8.333333333333334,3.225806451612903,9.375,24.137931034482758,33.333333333333336,24.0,26.923076923076923,25.0,16.408668730650156
5208707,2020,6,1,3,5,0,4,16,18,47,63,92,104,97,129,133,124,107,86,141,1170
5208707,2020,6,2,0,0,0,0,3,0,4,6,7,12,9,17,31,18,21,25,43,196
5208707,2020,6,3,5,4,2,5,21,21,37,60,71,89,85,113,106,98,96,68,115,997
5208707,2020,6,4,0.0,0.0,0.0,0.0,18.75,0.0,8.51063829787234,9.523809523809524,7.608695652173913,11.538461538461538,9.278350515463918,13.178294573643411,23.30827067669173,14.516129032258064,19.626168224299064,29.069767441860463,30.49645390070922,16.752136752136753
5208707,2020,7,1,1,5,2,5,11,18,52,79,80,87,123,184,171,161,178,136,228,1521
5208707,2020,7,2,0,0,0,0,2,2,3,9,9,20,28,38,63,63,60,62,113,472
5208707,2020,7,3,12,13,7,6,14,25,60,88,100,104,144,186,177,182,161,138,238,1655
5208707,2020,7,4,0.0,0.0,0.0,0.0,18.181818181818183,11.11111111111111,5.769230769230769,11.39240506329114,11.25,22.988505747126435,22.764227642276424,20.652173913043477,36.8421052631579,39.130434782608695,33.70786516853933,45.588235294117645,49.56140350877193,31.032215647600264
5208707,2020,8,1,11,6,1,3,13,30,41,83,97,126,135,156,169,177,191,143,231,1613
5208707,2020,8,2,2,0,0,0,1,2,5,10,17,19,21,49,67,68,83,72,159,575
5208707,2020,8,3,14,19,4,5,18,36,62,103,119,147,140,193,206,221,209,167,251,1915
5208707,2020,8,4,18.181818181818183,0.0,0.0,0.0,7.6923076923076925,6.666666666666667,12.195121951219512,12.048192771084338,17.52577319587629,15.079365079365079,15.555555555555555,31.41025641025641,39.64497041420118,38.4180790960452,43.455497382198956,50.34965034965035,68.83116883116882,35.6478611283323
5208707,2020,9,1,7,3,1,2,12,15,32,47,70,69,84,105,124,123,132,93,165,1084
5208707,2020,9,2,0,0,0,0,4,2,5,8,10,21,20,22,51,52,76,59,101,431
5208707,2020,9,3,12,6,2,6,20,29,44,63,108,107,123,141,172,175,159,126,221,1514
5208707,2020,9,4,0.0,0.0,0.0,0.0,33.333333333333336,13.333333333333334,15.625,17.02127659574468,14.285714285714286,30.434782608695652,23.80952380952381,20.952380952380953,41.12903225806452,42.27642276422764,57.57575757575758,63.44086021505376,61.21212121212121,39.760147601476014
5208707,2020,10,1,0,1,1,2,4,11,20,18,39,37,35,46,70,73,71,54,107,589
5208707,2020,10,2,1,0,0,0,0,4,2,4,6,7,7,24,26,32,39,33,83,268
5208707,2020,10,3,3,3,1,1,5,19,26,36,62,67,81,95,120,113,127,83,145,988
5208707,2020,10,4,0.0,0.0,0.0,0.0,0.0,36.36363636363637,10.0,22.22222222222222,15.384615384615385,18.91891891891892,20.0,52.17391304347826,37.142857142857146,43.83561643835616,54.929577464788736,61.111111111111114,77.57009345794393,45.50084889643463
